,Date,Time,Heart_rate_extract
8,26/4/2021,10:24,"[70, 70, 70, 116, 114, 108, 101, 96, 94, 92, 91, 95, 98, 99, 100]"
9,26/4/2021,10:26,"[70, 70, 70, 71, 71, 67, 67, 72, 74, 74, 76, 77, 76, 76, 76]"
10,26/4/2021,10:28,"[70, 70, 70, 113, 110, 103, 102, 102, 100, 100, 99, 98, 98, 100, 103]"
11,26/4/2021,10:30,"[70, 70, 70, 101, 106, 108, 107, 106, 107, 112, 119, 124, 124, 120, 118, 122]"
12,26/4/2021,10:33,"[70, 70, 112, 114, 114, 117, 120, 119, 116, 118, 122, 121, 120, 123, 122, 121, 119, 118]"
13,26/4/2021,10:35,"[70, 70, 70, 102, 100, 102, 109, 111, 114, 118, 122, 124, 125, 122, 118]"
14,28/4/2021,17:32,"[70, 70, 70, 91, 96, 100, 103, 100, 96, 101, 106, 110, 114, 116, 119]"
15,28/4/2021,17:33,"[70, 70, 70, 109, 103, 94, 88, 89, 88, 91, 97, 98, 96, 95]"
16,28/4/2021,17:35,"[70, 70, 70, 105, 101, 97, 97, 98, 96, 91, 89, 89, 90, 92, 90, 90, 93]"
17,28/4/2021,17:38,"[70, 70, 70, 91, 88, 83, 81, 85, 91, 91, 93, 95]"
18,28/4/2021,17:42,"[70, 70, 70, 128, 125, 127, 132, 133, 130, 129, 127, 127]"
19,28/4/2021,17:47,"[70, 70, 70, 122, 121, 120, 116, 111, 111, 109, 109]"
